,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_SEPT,PAY_AUG,PAY_JUL,PAY_JUN,PAY_MAY,PAY_APR,BILL_AMT_SEPT,BILL_AMT_AUG,BILL_AMT_JUL,BILL_AMT_JUN,BILL_AMT_MAY,BILL_AMT_APR,PAY_AMT_SEPT,PAY_AMT_AUG,PAY_AMT_JUL,PAY_AMT_JUN,PAY_AMT_MAY,PAY_AMT_APR
29016,90000.0,2,2,1,46,-1,-1,-1,-1,-1,-1,1829.0,2793.0,696.0,546.0,846.0,846.0,2793.0,696.0,546.0,996.0,846.0,696.0
21824,290000.0,2,1,2,25,-1,-1,-1,0,0,0,11102.0,9327.0,22149.0,23737.0,13449.0,17963.0,9358.0,22149.0,20000.0,3449.0,7000.0,11041.0
14861,30000.0,2,2,2,24,2,2,7,7,7,7,2550.0,2550.0,2550.0,2550.0,2550.0,2550.0,0.0,0.0,0.0,0.0,0.0,0.0
22112,50000.0,2,2,2,31,0,0,0,0,0,0,19889.0,20451.0,20426.0,19894.0,20294.0,20145.0,1500.0,1600.0,1600.0,1000.0,900.0,1000.0
28423,210000.0,2,1,2,31,0,0,0,0,0,0,77830.0,68850.0,42884.0,23547.0,18574.0,12466.0,2555.0,2027.0,1045.0,1000.0,500.0,10000.0
1266,220000.0,2,2,1,32,0,0,0,0,0,0,194961.0,197536.0,203251.0,208355.0,213015.0,217475.0,7200.0,9000.0,10000.0,8000.0,8010.0,8500.0
36566,50000.0,1,1,2,25,0,0,0,0,0,0,15492.719878058491,16360.250822503927,18037.92223628767,18190.3658346022,18582.79819395265,19044.706188889086,1422.5629817168972,2029.0388818561637,1209.6111814383642,1258.0777637123272,919.3592545707758,806.4074542922428
29319,280000.0,1,4,2,26,-1,-1,-1,-1,-1,0,688.0,2384.0,696.0,696.0,1392.0,696.0,2400.0,696.0,696.0,1392.0,0.0,696.0
3965,210000.0,2,2,1,33,0,0,0,0,0,0,137009.0,121126.0,101951.0,96329.0,84224.0,81570.0,20000.0,15011.0,10000.0,10000.0,5000.0,10001.0
25852,370000.0,2,2,1,47,-2,-2,-2,-2,-2,-2,1289.0,2408.0,395.0,12074.0,744.0,4040.0,2432.0,397.0,12133.0,747.0,4060.0,3059.0
35913,120000.0,2,1,2,26,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41709,98462.80010662017,2,1,1,28,0,0,-2,-2,-2,-2,26636.240334805654,-425.1724955733198,-425.1724955733198,-425.1724955733198,-425.1724955733198,-425.1724955733198,0.0,0.0,0.0,0.0,0.0,0.0
5972,80000.0,1,1,2,26,0,0,0,0,0,0,79650.0,80821.0,65609.0,49640.0,49685.0,46684.0,3515.0,2627.0,1697.0,2000.0,1700.0,3000.0
12197,240000.0,2,2,1,41,1,2,0,0,0,0,137327.0,133724.0,136539.0,137487.0,141291.0,20143.0,0.0,6702.0,5000.0,6019.0,6099.0,14762.0
20012,200000.0,2,1,2,41,-1,-1,-1,-1,-1,-1,2615.0,9855.0,11162.0,45607.0,23359.0,25713.0,9855.0,21162.0,45614.0,23359.0,25713.0,9884.0
4478,200000.0,2,1,2,25,-2,-2,-1,0,-1,-1,6096.0,2886.0,8264.0,7776.0,2814.0,2610.0,2886.0,9288.0,0.0,2814.0,2610.0,2828.0
11602,10000.0,1,1,1,50,0,0,0,0,0,0,10043.0,9616.0,9718.0,9916.0,9250.0,7461.0,1194.0,1076.0,274.0,370.0,472.0,375.0
27158,20000.0,1,2,1,43,0,0,0,0,0,0,12721.0,14102.0,14870.0,16116.0,16436.0,16781.0,1600.0,1300.0,1500.0,588.0,610.0,611.0
21036,50000.0,1,3,2,40,0,0,0,0,2,2,55397.0,55877.0,57335.0,59595.0,55949.0,51225.0,2000.0,2356.0,3494.0,2000.0,0.0,1725.0
22323,470000.0,2,2,2,30,0,0,0,0,0,0,26549.0,25247.0,28019.0,27139.0,26923.0,28350.0,1420.0,5000.0,1408.0,2000.0,2000.0,10000.0
34812,80000.0,1,2,1,34,0,0,0,0,0,0,79699.30740627038,3537.521483122756,3440.440906946027,2834.279260574256,2224.565885805776,2256.5314413761625,654.7019344601351,627.4720167520284,91.1610288488796,87.01734571938506,75.17825106368642,30.781646104816485
45043,550000.0,1,2,1,39,2,0,0,0,0,0,525138.0234423705,541602.9449058776,518665.9008282216,530239.4079617064,518624.0613043537,275373.40291911096,33640.394409884975,13429.065401789114,106323.91338681633,22952.39666897535,2525.6957191835363,100339.27968260019
13202,50000.0,2,2,1,50,0,0,0,0,0,0,8925.0,9208.0,10238.0,10700.0,10762.0,11587.0,1200.0,1200.0,1000.0,1000.0,1000.0,1000.0
13886,230000.0,1,1,1,37,-1,-1,-1,-1,-1,-1,3102.0,30428.0,5711.0,5770.0,7652.0,17825.0,30580.0,5739.0,5799.0,7690.0,17914.0,360.0
41880,50000.0,2,2,1,25,0,0,0,0,0,0,47874.70278088354,48592.87378613274,50083.853303007054,50235.470815667366,18181.253365339995,18441.441773003084,1597.1960991388917,2676.078851790951,2228.376856540857,901.0483821111281,940.0537579012536,17307.82858777008
30946,360000.0,1,1,2,34,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38453,40000.0,1,1,2,28,0,0,1,1,0,0,5597.471209812345,7036.876899607544,7887.472824373213,2977.10047992951,718.881210640122,1057.6141010335302,1672.7550142884356,1000.3074985444846,836.3775071442178,1630.9361389312248,664.9201181796532,978.5616833587349
1366,260000.0,2,4,2,42,-1,-1,-1,-1,-1,-1,399.0,2101.0,577.0,0.0,200.0,0.0,2101.0,577.0,0.0,200.0,0.0,664.0
42603,80000.0,2,1,1,29,0,0,0,0,0,0,16733.599871452723,17835.756675942666,18840.194508342545,19373.40522338488,20120.26472340244,20648.6213965506,1409.6703380181589,1337.8810949780839,881.0810055538922,1059.4594972230539,881.0810055538922,1012.318969295554
